model,MAE,MSE,RMSE,R2
LinearRegression,24396259654204.098,4.575641128897952e+28,213907483013052.9,-3.424395644333194e+27
DecisionTreeRegressor,1.0255528673835124,2.8283218294504184,1.6817615257373497,0.7883292705720736
RandomForestRegressor,0.7849781511776754,1.5977231773571483,1.2640107504911295,0.8804268924230567
GradientBoostingRegressor,1.134407766466146,2.638172336490591,1.6242451589863491,0.8025599997118964
RidgeRegressor,2.1243216926521997,0.9191905124268523,1.4575052976412126,0.8410164226923804
LassoRegressor,2.1553622091533176,0.9220470464457612,1.4681151893340378,0.8386933600546014
