Fuel type,body type,transmission,ownerNo,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2019,6.1,Comprehensive,60932,23.84,5,Red,Bangalore
Petrol,SUV,Automatic,2,Kia,Kia Seltos,2020,16.75,Comprehensive,33539,16.5,5,White,Bangalore
Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2018,5.3,Comprehensive,66837,23.84,5,Brown,Bangalore
Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,79.9,Third Party,400,19.24556842105263,5,White,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,2008,2.5,Third Party insurance,60000,19.7,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2019,7.15,Third Party insurance,44285,18.6,5,Grey,Bangalore
Diesel,SUV,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,35.0,Third Party insurance,100000,11.3,7,Others,Bangalore
Diesel,SUV,Automatic,1,Tata,Tata New Safari,2021,22.5,Comprehensive,25000,14.08,6,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,6.25,Comprehensive,36735,18.9,5,Blue,Bangalore
Diesel,SUV,Automatic,1,Audi,Audi Q7,2015,26.95,Comprehensive,79000,12.07,7,White,Bangalore
Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,120000,12.05,8,Gray,Bangalore
Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2022,5.5,Third Party insurance,10000,22.0,5,Others,Bangalore
Diesel,SUV,Manual,1,Tata,Tata Nexon,2018,8.25,Comprehensive,53645,21.5,5,White,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,2006,2.2,Third Party insurance,100000,15.3,5,Others,Bangalore
Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2014,4.28,Comprehensive,53982,26.68,5,Others,Bangalore
Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,2014,6.95,Third Party insurance,110000,21.14,5,Black,Bangalore
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2019,9.3,Third Party insurance,37741,15.9,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,4.55,Comprehensive,17367,22.05,5,Silver,Bangalore
Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2017,11.95,Comprehensive,94000,19.67,5,Grey,Bangalore
Diesel,SUV,Automatic,1,Tata,Tata Harrier,2021,21.75,Comprehensive,33700,14.6,5,Grey,Bangalore
Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2014,4.42,Comprehensive,54601,22.38,5,White,Bangalore
Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2018,6.9,Third Party insurance,110000,28.4,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2017,5.0,Third Party,64000,23.1,5,Red,Bangalore
Diesel,Sedan,Automatic,1,BMW,BMW 3 Series GT,2016,33.95,Comprehensive,40525,21.76,5,White,Bangalore
Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2015,6.5,Third Party insurance,100000,26.21,5,White,Bangalore
Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2016,5.37,Comprehensive,44154,19.0,5,White,Bangalore
Diesel,MUV,Manual,1,Renault,Renault Lodgy,2016,7.5,Third Party insurance,70000,19.98,7,White,Bangalore
Petrol,Sedan,Automatic,1,Skoda,Skoda Octavia,2018,17.9,Comprehensive,79000,15.1,5,White,Bangalore
Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2017,4.68,Third Party insurance,68039,23.84,5,Orange,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,60000,18.5,5,Silver,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,4.2,Third Party insurance,60000,18.5,5,Silver,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,9.2,Third Party insurance,10000,20.0,5,Others,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2013,5.33,Third Party,49873,16.8,5,Yellow,Bangalore
Petrol,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,2013,8.5,Third Party insurance,90000,17.2,5,Others,Bangalore
Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,2017,7.51,Third Party insurance,48960,21.13,5,Silver,Bangalore
Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,3.88,Third Party insurance,70000,24.0,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,4.9,Comprehensive,68000,18.5,5,Silver,Bangalore
Diesel,SUV,Manual,1,Mahindra,Mahindra KUV 100,2016,4.94,Third Party,23017,25.32,6,Orange,Bangalore
Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,5.25,Comprehensive,83000,21.27,5,Brown,Bangalore
Diesel,SUV,Automatic,2,BMW,BMW X3,2016,28.9,Comprehensive,92000,16.55,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,5.5,Comprehensive,62139,20.51,5,Red,Bangalore
Lpg,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,3.65,Comprehensive,74000,19.2,5,Grey,Bangalore
Petrol,Hatchback,Automatic,2,Renault,Renault KWID,2016,4.2,Comprehensive,26500,24.04,5,Red,Bangalore
Diesel,Sedan,Automatic,1,Volvo,Volvo S60,2017,18.95,Comprehensive,81716,27.03,5,Silver,Bangalore
Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,Comprehensive,24000,17.0,5,White,Bangalore
Petrol,SUV,Automatic,1,Mahindra,Mahindra XUV300,2022,10.5,Third Party insurance,10000,17.0,5,White,Bangalore
Petrol,SUV,Automatic,1,MG,MG Hector Plus,2021,20.75,Comprehensive,18000,16.56,6,Black,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Brio,2013,3.94,Third Party,38197,19.4,5,Others,Bangalore
Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2017,7.25,Comprehensive,23000,19.56,5,Grey,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2013,2.4,Third Party insurance,50000,20.92,5,Red,Bangalore
Petrol,SUV,Automatic,1,Renault,Renault Kiger,2022,8.35,Third Party insurance,10000,19.03,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,6.95,Third Party insurance,19000,18.9,5,Blue,Bangalore
Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,17.25,Comprehensive,14000,16.5,5,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,2014,3.3,Comprehensive,29268,21.1,5,White,Bangalore
Petrol,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,2019,9.9,Third Party insurance,20000,18.19,5,Others,Bangalore
Petrol,Sedan,Manual,1,Toyota,Toyota Yaris,2018,7.5,Third Party insurance,30000,17.1,5,Others,Bangalore
Diesel,SUV,Manual,1,MG,MG Hector,2021,17.5,Third Party insurance,30000,17.41,5,Others,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,20.83,Comprehensive,7100,14.2,6,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,2.71,Comprehensive,43679,19.81,5,Silver,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Creta,2018,12.8,Third Party insurance,40000,14.8,5,Others,Bangalore
Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2012,4.36,Third Party,40562,22.54,5,Red,Bangalore
Petrol,SUV,Automatic,2,Hyundai,Hyundai Creta,2021,16.75,Comprehensive,26500,19.24556842105263,5,White,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,20000,18.15,5,Others,Bangalore
Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,2016,13.5,Third Party insurance,58600,16.0,7,Silver,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,12.5,Third Party insurance,20000,18.15,5,Others,Bangalore
Petrol,SUV,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,22.25,Comprehensive,42050,18.4,5,White,Bangalore
Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2015,4.75,2,65017,23.1,5,White,Bangalore
Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2008,6.0,Third Party insurance,80000,13.2,5,Others,Bangalore
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2021,24.5,Third Party insurance,30000,14.1,5,Others,Bangalore
Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,16.25,Third Party insurance,20000,16.5,5,Others,Bangalore
Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,80000,20.36,5,Others,Bangalore
Diesel,SUV,Automatic,2,Audi,Audi Q5,2016,25.99,Third Party insurance,30000,14.16,5,Others,Bangalore
Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,80000,20.36,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2017,3.85,Third Party,52204,24.39,5,Silver,Bangalore
Petrol,Hatchback,Manual,3,Hyundai,Hyundai i20,2012,3.0,Third Party insurance,110000,17.0,5,Red,Bangalore
Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2017,29.75,Third Party insurance,89000,10.91,7,Black,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,2014,2.76,Comprehensive,29813,22.05,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Ford,Ford Figo,2018,5.0,Third Party insurance,30000,18.16,5,Gray,Bangalore
Petrol,Hatchback,Automatic,1,Maruti,Maruti Ignis,2020,7.3,Comprehensive,13345,20.89,5,White,Bangalore
Diesel,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,22.45,Comprehensive,17100,18.1,7,Grey,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2014,3.99,Comprehensive,75000,18.9,5,Grey,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,3.12,Comprehensive,75523,20.36,5,Red,Bangalore
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2015,12.75,Comprehensive,47000,16.0,7,Silver,Bangalore
Diesel,SUV,Manual,1,Tata,Tata Harrier,2022,19.9,Comprehensive,36500,16.35,5,White,Bangalore
Petrol,MUV,Manual,1,Renault,Renault Triber,2020,7.19,Comprehensive,28253,20.0,7,Silver,Bangalore
Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2016,12.6,Third Party insurance,50000,19.67,5,White,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2010,3.0,Third Party insurance,90000,20.36,5,Others,Bangalore
Diesel,SUV,Automatic,2,BMW,BMW X5,2016,39.81,Third Party insurance,70000,15.97,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,6.27,Comprehensive,52571,18.6,5,Grey,Bangalore
Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2010,13.0,Third Party insurance,70000,16.07,5,Others,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2015,6.72,Comprehensive,61993,17.4,5,Silver,Bangalore
Diesel,SUV,Automatic,1,Hyundai,Hyundai Tucson,2017,18.25,Comprehensive,57000,16.38,5,White,Bangalore
Diesel,SUV,Manual,2,Toyota,Toyota Fortuner,2021,35.0,Third Party insurance,80000,14.24,7,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2013,4.4,Comprehensive,36359,18.5,5,Blue,Bangalore
Diesel,SUV,Manual,2,Tata,Tata Harrier,2019,14.6,Third Party insurance,70000,17.0,5,Others,Bangalore
